Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/produtos,41465,41465,310,290.0311206903178,0.5852009999216534,625.7281389998752,0.0,1418.9205750783494,1418.9205750783494,310,330,350,360,400,450,540,560,610,620,630
,Aggregated,41465,41465,310,290.0311206903178,0.5852009999216534,625.7281389998752,0.0,1418.9205750783494,1418.9205750783494,310,330,350,360,400,450,540,560,610,620,630
